"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"editData","editData","/Users/edc5240/Rlibs","0.1.8",NA,"R (>= 2.10)","shiny (>= 0.13), miniUI (>= 0.1.1), rstudioapi (>= 0.5), DT(>=
0.17), tibble, dplyr, rio, magrittr, shinyWidgets, openxlsx",NA,"knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ellipsis","ellipsis","/Users/edc5240/Rlibs","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"evaluate","evaluate","/Users/edc5240/Rlibs","0.15",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"expm","expm","/Users/edc5240/Rlibs","0.999-6",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.0"
"fansi","fansi","/Users/edc5240/Rlibs","1.0.3",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"farver","farver","/Users/edc5240/Rlibs","2.1.0",NA,NA,NA,NA,"testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmap","fastmap","/Users/edc5240/Rlibs","1.1.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"fastmatch","fastmatch","/Users/edc5240/Rlibs","1.1-3",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"fBasics","fBasics","/Users/edc5240/Rlibs","3042.89.2",NA,"R (>= 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial,
gss, stabledist",NA,"interp, RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"fdrtool","fdrtool","/Users/edc5240/Rlibs","1.2.17",NA,"R (>= 3.0.2)","graphics, grDevices, stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"filehash","filehash","/Users/edc5240/Rlibs","2.4-3",NA,"R (>= 3.0.0), methods",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"fitdistrplus","fitdistrplus","/Users/edc5240/Rlibs","1.1-8",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"flextable","flextable","/Users/edc5240/Rlibs","0.7.2",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.4.1),
rmarkdown, knitr, htmltools, xml2, data.table (>= 1.13.0), uuid
(>= 0.1-4), gdtools (>= 0.1.6), rlang, base64enc",NA,"testthat (>= 2.1.0), xtable, webshot, magick, ggplot2,
scales, broom, broom.mixed, mgcv, cluster, lme4, nlme,
bookdown, equatags, commonmark,pdftools",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"FNN","FNN","/Users/edc5240/Rlibs","1.1.3.1",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"fontawesome","fontawesome","/Users/edc5240/Rlibs","0.2.2",NA,"R (>= 3.3.0)","rlang (>= 0.4.10), htmltools (>= 0.5.1.1)",NA,"covr, knitr, testthat, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"forcats","forcats","/Users/edc5240/Rlibs","0.5.1",NA,"R (>= 3.2)","ellipsis, magrittr, rlang, tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"foreach","foreach","/Users/edc5240/Rlibs","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.0"
"Formula","Formula","/Users/edc5240/Rlibs","1.2-4",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.1.0"
"fs","fs","/Users/edc5240/Rlibs","1.5.2",NA,"R (>= 3.1)","methods",NA,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"fst","fst","/Users/edc5240/Rlibs","0.9.8",NA,"R (>= 3.0.0)","fstcore, Rcpp","Rcpp, fstcore","testthat, bit64, data.table, lintr, nanotime, crayon",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"fstcore","fstcore","/Users/edc5240/Rlibs","0.9.12",NA,"R (>= 3.0.0)","Rcpp","Rcpp","testthat, lintr",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"furrr","furrr","/Users/edc5240/Rlibs","0.3.0",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"future","future","/Users/edc5240/Rlibs","1.26.1",NA,NA,"digest, globals (>= 0.15.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.30.0), tools, utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"future.apply","future.apply","/Users/edc5240/Rlibs","1.9.0",NA,"R (>= 3.2.0), future (>= 1.22.1)","globals (>= 0.14.0), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gargle","gargle","/Users/edc5240/Rlibs","1.2.0",NA,"R (>= 3.3)","cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"gaston","gaston","/Users/edc5240/Rlibs","1.5.7",NA,"Rcpp, RcppParallel, methods","","Rcpp, RcppParallel, RcppEigen","knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.0"
"gdata","gdata","/Users/edc5240/Rlibs","2.18.0.1",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gdistance","gdistance","/Users/edc5240/Rlibs","1.3-6",NA,"R (>= 3.2.0), raster (>= 1.9-19), methods, igraph (>= 0.7.0),
Matrix","sp, stats",NA,"knitr, markdown, rmarkdown, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gdm","gdm","/Users/edc5240/Rlibs","1.5.0-3",NA,"R (>= 3.5.0)","parallel, methods, raster, Rcpp, reshape2, vegan, doParallel,
foreach, pbapply","Rcpp",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"gdtools","gdtools","/Users/edc5240/Rlibs","0.2.4",NA,NA,"Rcpp (>= 0.12.12), systemfonts (>= 0.1.1)","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"genepop","genepop","/Users/edc5240/Rlibs","1.1.7",NA,NA,"Rcpp (>= 0.12.10), stringr","Rcpp, RcppProgress","testthat, knitr",NA,"CeCILL-2",NA,NA,NA,NA,"yes","4.1.0"
"generics","generics","/Users/edc5240/Rlibs","0.1.2",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"geojson","geojson","/Users/edc5240/Rlibs","0.3.4",NA,NA,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval",NA,"geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"geojsonio","geojsonio","/Users/edc5240/Rlibs","0.9.4",NA,"R (>= 2.10)","methods, sp, sf (>= 0.6), geojsonsf, rgeos, crul, maptools,
jsonlite (>= 0.9.21), magrittr, readr (>= 0.2.2), V8, geojson
(>= 0.2.0), jqr",NA,"gistr, testthat, leaflet, maps, DBI, RPostgres","RColorBrewer","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"geojsonlint","geojsonlint","/Users/edc5240/Rlibs","0.4.0",NA,"R (>= 2.10)","crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"geojsonsf","geojsonsf","/Users/edc5240/Rlibs","2.0.3",NA,"R (>= 3.3.0)","Rcpp","geometries, jsonify (>= 1.1.1), rapidjsonr (>= 1.2.0), Rcpp,
sfheaders (>= 0.2.2)","covr, jsonify, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"geomedb","geomedb","/Users/edc5240/Rlibs","2.0.1",NA,"utils","ape, httr, jsonlite",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"geometries","geometries","/Users/edc5240/Rlibs","0.2.0",NA,NA,"Rcpp","Rcpp","covr, knitr, rmarkdown, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"geometry","geometry","/Users/edc5240/Rlibs","0.4.6",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"geosphere","geosphere","/Users/edc5240/Rlibs","1.5-14",NA,"R (>= 3.0.0)","sp",NA,"methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"gert","gert","/Users/edc5240/Rlibs","1.6.0",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"gg.gap","gg.gap","/Users/edc5240/Rlibs","1.3",NA,NA,"ggplot2, cowplot, grid",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"ggalluvial","ggalluvial","/Users/edc5240/Rlibs","0.12.3",NA,"R (>= 3.5), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"GGally","GGally","/Users/edc5240/Rlibs","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.1.1"
"ggforce","ggforce","/Users/edc5240/Rlibs","0.3.3",NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.0"
"ggiraph","ggiraph","/Users/edc5240/Rlibs","0.8.2",NA,NA,"grid, ggplot2 (>= 3.3.5), htmlwidgets (>= 1.5), stats,
htmltools, Rcpp (>= 1.0), systemfonts, purrr, rlang, uuid","Rcpp, systemfonts","knitr, tinytest, rmarkdown, maps, hexbin, shiny, sf (>= 1.0),
ggrepel (>= 0.9.1), quantreg, xml2 (>= 1.0), dplyr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"ggmap","ggmap","/Users/edc5240/Rlibs","3.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ggmcmc","ggmcmc","/Users/edc5240/Rlibs","1.5.1.1",NA,"R (>= 3.5), dplyr (>= 1.0.0), tidyr (>= 1.1.0), ggplot2","GGally (>= 1.1.0)",NA,"coda, knitr, rmarkdown, ggthemes, gridExtra, Cairo, extrafont",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"ggplot2","ggplot2","/Users/edc5240/Rlibs","3.3.6",NA,"R (>= 3.3)","digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)",NA,"covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"ggpubr","ggpubr","/Users/edc5240/Rlibs","0.4.0",NA,"R (>= 3.1.0), ggplot2","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.0"
"ggrepel","ggrepel","/Users/edc5240/Rlibs","0.9.1",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","Rcpp","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"ggsci","ggsci","/Users/edc5240/Rlibs","2.9",NA,"R (>= 3.0.2)","grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"ggsignif","ggsignif","/Users/edc5240/Rlibs","0.6.3",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"gh","gh","/Users/edc5240/Rlibs","1.3.0",NA,NA,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"git2r","git2r","/Users/edc5240/Rlibs","0.30.1",NA,"R (>= 3.1)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"gitcreds","gitcreds","/Users/edc5240/Rlibs","0.1.1",NA,NA,NA,NA,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"glasso","glasso","/Users/edc5240/Rlibs","1.11",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"globals","globals","/Users/edc5240/Rlibs","0.15.0",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"glue","glue","/Users/edc5240/Rlibs","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"gmodels","gmodels","/Users/edc5240/Rlibs","2.18.1.1",NA,"R (>= 1.9.0)","MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gmp","gmp","/Users/edc5240/Rlibs","0.6-5",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"goftest","goftest","/Users/edc5240/Rlibs","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"googledrive","googledrive","/Users/edc5240/Rlibs","2.0.0",NA,"R (>= 3.3)","cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr",NA,"covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"googlesheets4","googlesheets4","/Users/edc5240/Rlibs","1.0.0",NA,"R (>= 3.3)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)",NA,"covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"googleVis","googleVis","/Users/edc5240/Rlibs","0.7.0",NA,"R (>= 3.0.2)","methods, jsonlite, utils",NA,"shiny (>= 0.4.0), httpuv (>= 1.2.0), knitr (>= 1.5),
rmarkdown, markdown, data.table",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gower","gower","/Users/edc5240/Rlibs","1.0.0",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"graph4lg","graph4lg","/Users/edc5240/Rlibs","1.6.0",NA,"R(>= 3.1.0)","adegenet, ggplot2, stringr, igraph, stats, spatstat.geom,
spatstat.linnet, Matrix, vegan, utils, methods, pegas, MASS,
tidyr, sp, sf, diveRsity, rappdirs, gdistance, raster, foreign,
ecodist, Rdpack",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"gridExtra","gridExtra","/Users/edc5240/Rlibs","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"gridpattern","gridpattern","/Users/edc5240/Rlibs","0.5.3",NA,"R (>= 3.4.0)","glue, grDevices, grid, memoise, png, rlang, sf, utils",NA,"ambient, knitr, magick, ragg (>= 1.2.0), rmarkdown, svglite
(>= 2.1.0), testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gsl","gsl","/Users/edc5240/Rlibs","2.1-7.1",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"gss","gss","/Users/edc5240/Rlibs","2.2-3",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"gstat","gstat","/Users/edc5240/Rlibs","2.0-9",NA,"R (>= 2.10)","utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos, sf
(>= 0.7-2), stars (>= 0.3-0), xts, raster, future, future.apply",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"gtable","gtable","/Users/edc5240/Rlibs","0.3.0",NA,"R (>= 3.0)","grid",NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"gtools","gtools","/Users/edc5240/Rlibs","3.9.2.2",NA,"R (>= 2.10), methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"hardhat","hardhat","/Users/edc5240/Rlibs","1.1.0",NA,"R (>= 3.4.0)","glue (>= 1.6.2), rlang (>= 1.0.2), tibble (>= 3.1.7), vctrs
(>= 0.4.1)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 0.1.8), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"HardyWeinberg","HardyWeinberg","/Users/edc5240/Rlibs","1.7.5",NA,"R (>= 1.8.0), mice, Rsolnp, nnet","Rcpp","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"haven","haven","/Users/edc5240/Rlibs","2.5.0",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"HDInterval","HDInterval","/Users/edc5240/Rlibs","0.2.2",NA,NA,NA,NA,"coda",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.0"
"hexbin","hexbin","/Users/edc5240/Rlibs","1.28.2",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.0"
"hierfstat","hierfstat","/Users/edc5240/Rlibs","0.5-11",NA,"R (>= 2.10)","ade4,adegenet,gaston,gtools,methods",NA,"ape, pegas, knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"highr","highr","/Users/edc5240/Rlibs","0.9",NA,"R (>= 3.2.3)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.1.0"
"Hmisc","Hmisc","/Users/edc5240/Rlibs","4.7-0",NA,"lattice, survival (>= 3.1-6), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, foreign, gtable,
grid, gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc",NA,"acepack, chron, rms, mice, tables, knitr, plotly (>= 4.5.6),
rlang, plyr, VGAM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"hms","hms","/Users/edc5240/Rlibs","1.1.1",NA,NA,"ellipsis (>= 0.3.2), lifecycle, methods, pkgconfig, rlang,
vctrs (>= 0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"htmlTable","htmlTable","/Users/edc5240/Rlibs","2.4.0",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"htmltools","htmltools","/Users/edc5240/Rlibs","0.5.2",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"htmlwidgets","htmlwidgets","/Users/edc5240/Rlibs","1.5.4",NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,"knitr (>= 1.8), rmarkdown, testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"httpcode","httpcode","/Users/edc5240/Rlibs","0.3.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"httpuv","httpuv","/Users/edc5240/Rlibs","1.6.5",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"httr","httr","/Users/edc5240/Rlibs","1.4.3",NA,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ids","ids","/Users/edc5240/Rlibs","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.0"
"igraph","igraph","/Users/edc5240/Rlibs","1.3.2",NA,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, graph, igraphdata, rgl, scales, stats4, tcltk, testthat,
withr, digest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"iNEXT","iNEXT","/Users/edc5240/Rlibs","2.0.20",NA,"R (>= 3.4)","stats, graphics, ggplot2, reshape2",NA,"testthat, knitr, rmarkdown, gridExtra, ggthemes",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.1"
